Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,Clapham South,Start,,,,,,,,14:50:56
14:52:27,Clapham Common,,,,,,,,,14:52:54
14:53:55,Clapham North,,,,,,,,,14:54:16
14:55:23,Stockwell,,,,,,,,,14:55:48
14:57:38,Oval ,,,,,,,,,14:58:00
14:59:16,Kennington,,,,,,,,,14:59:38
15:01:10,Elephant & Castle,,,,,,,,,15:01:31
15:03:01,Borough,,,,,,,,,15:03:25
15:04:36,London Bridge,,,,,,,,,15:05:08
15:06:14,Bank,,,,,,,,,15:06:45
15:08:10,Moorgate,,,,,,,,,15:08:34
15:09:35,Old Street,,,,,,,,,15:10:04
15:12:00,Angel,,,,,,,,,15:12:27
15:14:11,King's Cross St. Pancras,,,,,,,,,15:14:47
15:16:00,Euston,,,,,,,,,15:16:22
15:19:14,Camden Town,,,,,,,,,15:20:07
15:21:38,Kentish Town,,,,,,,,,15:22:03
15:23:10,Tufnell Park,,,,,,,,,15:23:34
15:24:47,Archway,End,,,,,,,,
