Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,North Acton,Start,,,,,,,,13:12:13
13:14:30,East Acton,,,,,,,,,13:14:31
13:16:43,White City,,,,,,,,,13:17:13
13:24:14,Shepherd's Bush,,,,,,,,,13:24:36
13:25:52,Holland Park,,,,,,,,,13:26:10
13:27:07,Notting Hill Gate,,,,,,,,,13:27:32
13:28:34,Queensway,,,,,,,,,13:28:55
13:30:09,Lancaster Gate,,,,,,,,,13:30:30
13:32:22,Marble Arch,,,,,,,,,13:32:40
13:33:32,Bond Street,,,,,,,,,13:34:01
13:35:00,Oxford Circus,,,,,,,,,13:35:36
13:36:28,Tottenham Court Road,,,,,,,,,13:36:52
13:38:22,Holborn,,,,,,,,,13:38:50
13:39:40,Chancery Lane,,,,,,,,,13:39:57
13:41:27,St. Paul's,,,,,,,,,13:41:50
13:43:20,Bank,,,,,,,,,13:43:46
13:45:17,Liverpool Street,,,,,,,,,13:45:45
13:48:23,Bethnal Green,,,,,,,,,13:48:50
13:50:50,Mile End,,,,,,,,,13:51:14
13:54:49,Stratford,,,,,,,,,
