Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,Hammersmith,,,,,,,,,14:09:40
14:10:59,Barons Court,,,,,,,,,14:11:28
14:13:58,Earl's Court,,,,,,,,,14:14:32
14:15:47,Gloucester Road,,,,,,,,,14:16:18
14:17:26,South Kensington,,,,,,,,,14:17:37
14:19:49,Knightsbridge,,,,,,,,,14:20:25
14:21:27,Hyde Park,,,,,,,,,14:22:20
14:24:05,Green Park,,,,,,,,,14:24:42
14:25:44,Piccadilly Circus,,,,,,,,,14:26:08
14:27:15,Leicester Square,,,,,,,,,14:27:41
14:28:21,Covent Garden,,,,,,,,,14:28:41
14:29:58,Holborn,,,,,,,,,14:30:24
14:31:46,Russell Square,,,,,,,,,14:32:09
14:33:49,King's Cross St. Pancras,,,,,,,,,14:35:08
14:37:47,Caledonian Road,,,,,,,,,14:38:06
14:39:12,Holloway Road,,,,,,,,,14:39:31
14:40:45,Arsenal,,,,,,,,,14:41:04
14:42:19,Finsbury Park,,,,,,,,,14:42:44
14:44:20,Manor House,,,,,,,,,
