Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,Willesden Green,Start,,,,,,,,14:54:50
14:56:15,Kilburn,,,,,,,,,14:56:57
14:58:22,West Hampstead,,,,,,,,,14:58:54
14:59:56,Finchley Road,,,,,,,,,15:00:22
15:01:17,Swiss Cottage,,,,,,,,,15:01:43
15:03:01,St. John's Wood,,,,,,,,,15:03:17
15:05:22,Baker Street,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
